SWV ITM Data Console - ITM Port: 0

=== PARKINSON TREMOR MONITOR ===
IMU init... OK
FFT INIT STATUS: 0
TIME_MS,GX_DPS,GY_DPS,GZ_DPS,GYRO_MAG,AX_MG,AY_MG,AZ_MG,ACCEL_MAG,ACCEL_VERT,JERK_MG_S,DOMINANT_HZ,PEAK_FFT_MAG,BAND_ENERGY,GLOBAL_HZ,GLOBAL_MAG,TREMOR,TREMOR_PCT
142,0.7350,-0.6825,0.1750,1.0182,-33.18,42.46,496.05,498.97,496.05,3.13,0.0000,0.00,0.00,0.0000,0.00,0,0.0
242,0.3325,-0.6125,0.0700,0.7004,-33.43,42.82,495.20,498.17,495.20,99.96,0.0000,0.00,0.00,0.0000,0.00,0,0.0
342,0.2450,-0.5775,0.1050,0.6360,-33.55,41.85,495.20,498.09,495.20,21.04,0.0000,0.00,0.00,0.0000,0.00,0,0.0
442,0.4025,-0.6125,0.0875,0.7381,-33.06,41.11,495.20,498.00,495.20,96.31,0.0000,0.00,0.00,0.0000,0.00,0,0.0
542,0.4900,-0.6300,0.1225,0.8075,-32.33,42.09,496.42,499.25,496.42,18.88,0.0000,0.00,0.00,0.0000,0.00,0,0.0
642,0.3850,-0.5950,0.1050,0.7164,-33.67,41.48,496.54,499.41,496.54,1.24,0.0000,0.00,0.00,0.0000,0.00,0,0.0
742,0.5250,-0.6475,0.1400,0.8453,-32.70,41.11,495.56,498.34,495.56,58.09,0.0000,0.00,0.00,0.0000,0.00,0,0.0
842,0.6825,-0.6650,0.1400,0.9631,-31.96,41.85,496.05,498.84,496.05,4.30,0.0000,0.00,0.00,0.0000,0.00,0,0.0
942,0.3150,-0.6300,0.0875,0.7098,-33.43,41.72,496.17,499.05,496.17,51.62,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1042,0.8225,-1.2250,0.4025,1.5294,-31.48,46.85,508.37,511.50,508.37,3346.27,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1142,-0.4375,-0.5600,0.1050,0.7184,-32.70,40.87,494.47,497.23,494.47,70.46,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1242,-0.4900,-0.4900,0.0525,0.6950,-34.16,40.87,496.78,499.63,496.78,234.02,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1342,0.6650,-0.6825,0.1225,0.9607,-32.70,41.72,497.76,500.57,497.76,146.65,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1442,0.8400,-0.7000,0.1575,1.1047,-32.94,42.58,495.93,498.84,495.93,23.26,0.0000,0.00,0.00,0.0000,0.00,0,0.0
