SWV ITM Data Console - ITM Port: 0

=== PARKINSON TREMOR MONITOR ===
IMU init... OK
FFT INIT STATUS: 0
TIME_MS,GX_DPS,GY_DPS,GZ_DPS,GYRO_MAG,AX_MG,AY_MG,AZ_MG,ACCEL_MAG,ACCEL_VERT,JERK_MG_S,DOMINANT_HZ,PEAK_FFT_MAG,BAND_ENERGY,GLOBAL_HZ,GLOBAL_MAG,TREMOR,TREMOR_PCT
142,0.7175,-0.5950,0.2450,0.9638,10.25,-38.80,496.66,498.28,496.66,39.91,0.0000,0.00,0.00,0.0000,0.00,0,0.0
242,0.1925,-0.5600,0.1925,0.6227,12.44,-39.04,495.69,497.38,495.69,36.71,0.0000,0.00,0.00,0.0000,0.00,0,0.0
342,0.7175,-0.5950,0.2100,0.9555,12.93,-37.58,494.10,495.70,494.10,97.38,0.0000,0.00,0.00,0.0000,0.00,0,0.0
442,0.9275,-0.5775,0.1750,1.1065,13.79,-36.72,497.15,498.69,497.15,90.11,0.0000,0.00,0.00,0.0000,0.00,0,0.0
542,0.9275,-0.6475,0.2275,1.1538,12.69,-38.06,497.27,498.89,497.27,39.14,0.0000,0.00,0.00,0.0000,0.00,0,0.0
642,0.1750,-0.6300,0.2450,0.6982,13.18,-38.80,496.54,498.23,496.54,53.49,0.0000,0.00,0.00,0.0000,0.00,0,0.0
742,0.1225,-0.5950,0.2100,0.6428,12.93,-37.94,495.20,496.82,495.20,50.94,0.0000,0.00,0.00,0.0000,0.00,0,0.0
842,0.4900,-0.5775,0.1575,0.7736,12.57,-36.36,495.93,497.42,495.93,44.24,0.0000,0.00,0.00,0.0000,0.00,0,0.0
942,29.4875,1.6275,-0.0875,29.5325,14.52,-33.79,480.68,482.09,480.68,5154.56,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1042,-18.9000,-12.4950,-3.1150,22.8700,19.15,19.89,508.01,508.76,508.01,1742.03,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1142,1.8025,-1.1200,-0.0700,2.1233,15.25,-29.52,466.28,467.47,466.28,2676.99,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1242,0.5250,-0.6475,0.1925,0.8555,13.91,-23.67,499.47,500.22,499.47,445.86,0.0000,0.00,0.00,0.0000,0.00,0,0.0
