SWV ITM Data Console - ITM Port: 0

=== PARKINSON TREMOR MONITOR ===
IMU init... OK
FFT INIT STATUS: 0
TIME_MS,GX_DPS,GY_DPS,GZ_DPS,GYRO_MAG,AX_MG,AY_MG,AZ_MG,ACCEL_MAG,ACCEL_VERT,JERK_MG_S,DOMINANT_HZ,PEAK_FFT_MAG,BAND_ENERGY,GLOBAL_HZ,GLOBAL_MAG,TREMOR,TREMOR_PCT
142,0.0350,4.3225,1.3300,4.5226,20.62,-18.67,502.15,502.92,502.15,2293.58,0.0000,0.00,0.00,0.0000,0.00,0,0.0
242,0.2625,1.4525,-0.8050,1.6813,17.57,-26.72,499.47,500.49,499.47,56.41,0.0000,0.00,0.00,0.0000,0.00,0,0.0
342,-0.4900,3.4650,0.8925,3.6115,8.42,-31.84,483.49,484.61,483.49,74.10,0.0000,0.00,0.00,0.0000,0.00,0,0.0
442,0.2800,2.2925,0.9450,2.4954,9.52,-35.14,501.18,502.50,501.18,247.12,0.0000,0.00,0.00,0.0000,0.00,0,0.0
542,-0.2800,1.2425,1.1900,1.7431,7.56,-35.75,516.06,517.35,516.06,2435.37,0.0000,0.00,0.00,0.0000,0.00,0,0.0
642,0.0700,1.3300,2.1350,2.5164,10.49,-35.38,498.37,499.73,498.37,433.32,0.0000,0.00,0.00,0.0000,0.00,0,0.0
742,1.4700,0.4550,2.0475,2.5613,22.81,-35.14,508.62,510.34,508.62,1342.31,0.0000,0.00,0.00,0.0000,0.00,0,0.0
842,0.3150,-0.3325,-0.4025,0.6097,10.61,-31.72,497.39,498.52,497.39,223.91,0.0000,0.00,0.00,0.0000,0.00,0,0.0
942,-0.1400,0.0525,0.5425,0.5627,19.03,-28.91,492.76,493.97,492.76,1765.23,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1042,1.5925,-1.4700,1.4875,2.6286,15.37,-35.38,517.77,519.20,517.77,734.15,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1142,1.3650,-0.9625,1.8025,2.4574,21.47,-26.72,503.86,505.02,503.86,1612.05,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1242,-0.2275,-0.5250,0.1750,0.5983,6.10,-30.74,484.10,485.11,484.10,285.34,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1342,-0.6125,-1.1200,0.1050,1.2809,9.15,-33.31,492.27,493.48,492.27,549.40,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1442,1.3825,-5.8275,-0.8225,6.0455,10.61,-34.53,508.01,509.29,508.01,248.07,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1542,1.2775,-1.6275,-0.6300,2.1628,9.39,-37.58,513.25,514.71,513.25,658.71,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1642,0.7700,-2.5725,0.8750,2.8242,12.20,-30.74,502.40,503.48,502.40,324.60,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1742,0.8925,-2.0475,0.7175,2.3460,20.98,-30.50,506.91,508.26,506.91,367.81,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1842,1.0850,-0.3675,0.3325,1.1928,13.54,-31.35,492.76,493.94,492.76,88.28,0.0000,0.00,0.00,0.0000,0.00,0,0.0
