SWV ITM Data Console - ITM Port: 0

=== PARKINSON TREMOR MONITOR ===
IMU init... OK
FFT INIT STATUS: 0
TIME_MS,GX_DPS,GY_DPS,GZ_DPS,GYRO_MAG,AX_MG,AY_MG,AZ_MG,ACCEL_MAG,ACCEL_VERT,JERK_MG_S,DOMINANT_HZ,PEAK_FFT_MAG,BAND_ENERGY,GLOBAL_HZ,GLOBAL_MAG,TREMOR,TREMOR_PCT
142,0.4375,-0.4375,0.1400,0.6344,5.25,-19.76,498.74,499.16,498.74,97.16,0.0000,0.00,0.00,0.0000,0.00,0,0.0
242,0.3675,-0.4550,0.1050,0.5942,5.12,-18.54,498.49,498.86,498.49,74.50,0.0000,0.00,0.00,0.0000,0.00,0,0.0
342,0.2800,-0.5775,0.1225,0.6534,5.73,-19.76,497.64,498.06,497.64,48.22,0.0000,0.00,0.00,0.0000,0.00,0,0.0
442,0.4725,-0.4550,0.1575,0.6746,5.98,-19.52,497.76,498.18,497.76,4.29,0.0000,0.00,0.00,0.0000,0.00,0,0.0
542,0.6125,-0.2100,0.1225,0.6590,4.76,-18.79,496.91,497.28,496.91,124.73,0.0000,0.00,0.00,0.0000,0.00,0,0.0
642,0.1750,-0.6650,0.0875,0.6932,4.76,-20.37,497.64,498.08,497.64,22.53,0.0000,0.00,0.00,0.0000,0.00,0,0.0
742,0.3500,-0.5250,0.0875,0.6370,5.86,-20.62,497.52,497.98,497.52,34.79,0.0000,0.00,0.00,0.0000,0.00,0,0.0
842,0.3500,-0.5075,0.0875,0.6227,6.34,-20.25,497.88,498.33,497.88,11.64,0.0000,0.00,0.00,0.0000,0.00,0,0.0
942,0.1750,-0.6825,0.0875,0.7100,5.98,-20.37,498.00,498.46,498.00,103.19,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1042,0.5425,-0.2975,0.1400,0.6344,6.34,-19.03,497.39,497.80,497.39,59.03,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1142,0.4025,-0.4200,0.1050,0.5911,6.22,-18.06,497.76,498.13,497.76,99.79,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1242,0.2975,-0.5600,0.0525,0.6363,5.49,-19.89,497.76,498.19,497.76,48.49,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1342,0.2800,-0.5775,0.1050,0.6503,6.34,-19.64,497.64,498.07,497.64,62.69,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1442,0.4900,-0.2450,0.1575,0.5700,5.73,-19.89,495.81,496.24,495.81,551.04,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1542,-0.3850,-1.2950,0.0175,1.3511,6.71,-20.01,501.66,502.11,501.66,332.26,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1642,0.5075,-0.5250,0.1575,0.7470,5.00,-19.52,500.32,500.73,500.32,505.43,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1742,1.2600,0.5075,0.2100,1.3745,5.73,-20.37,495.93,496.38,495.93,198.59,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1842,0.4025,-0.4900,0.1050,0.6428,5.61,-19.64,496.91,497.33,496.91,161.98,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1942,0.4200,-0.4375,0.1400,0.6224,5.98,-18.91,498.00,498.40,498.00,46.74,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2042,0.5600,-0.3150,0.1225,0.6541,6.59,-18.79,498.13,498.52,498.13,19.76,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2142,0.2275,-0.6650,0.0700,0.7063,6.22,-18.91,498.00,498.40,498.00,49.89,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2242,0.3850,-0.5075,0.1225,0.6487,4.76,-18.06,498.13,498.48,498.13,9.56,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2342,0.4025,-0.4025,0.1050,0.5788,5.00,-20.74,497.52,497.97,497.52,37.46,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2442,0.2275,-0.5950,0.0875,0.6430,5.86,-19.52,497.39,497.81,497.39,38.09,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2542,0.2975,-0.5075,0.0875,0.5947,6.22,-21.11,498.86,499.34,498.86,106.64,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2642,0.4025,-0.4900,0.0700,0.6380,5.49,-19.76,498.00,498.43,498.00,35.24,3.6562,1.22,4.92,0.4062,46.64,0,0.0
2742,0.2975,-0.5775,0.1050,0.6581,4.27,-18.91,497.64,498.02,497.64,65.99,3.6562,1.22,4.92,0.4062,46.64,0,0.0
2842,0.4025,-0.4375,0.1050,0.6037,5.37,-19.89,498.00,498.43,498.00,11.49,3.6562,1.22,4.92,0.4062,46.64,0,0.0
2942,0.4200,-0.3850,0.1050,0.5794,5.49,-19.03,497.39,497.79,497.39,1.69,3.6562,1.22,4.92,0.4062,46.64,0,0.0
3042,0.3150,-0.5600,0.0175,0.6428,5.98,-18.91,498.25,498.64,498.25,6.77,3.6562,1.22,4.92,0.4062,46.64,0,0.0
3142,0.4025,-0.4375,0.1050,0.6037,5.73,-18.67,498.00,498.39,498.00,26.37,3.6562,1.22,4.92,0.4062,46.64,0,0.0
3242,0.2975,-0.5425,0.1050,0.6276,7.69,-19.03,498.25,498.67,498.25,56.37,3.6562,1.22,4.92,0.4062,46.64,0,0.0
3342,0.3675,-0.4725,0.1050,0.6077,5.98,-19.40,497.88,498.30,497.88,62.53,3.6562,1.22,4.92,0.4062,46.64,0,0.0
3442,0.3850,-0.4900,0.1225,0.6351,5.61,-19.28,497.39,497.80,497.39,14.68,3.6562,1.22,4.92,0.4062,46.64,0,0.0
3542,0.4025,-0.4550,0.0875,0.6137,5.12,-19.28,497.15,497.55,497.15,41.54,3.6562,1.22,4.92,0.4062,46.64,0,0.0
3642,0.3325,-0.5075,0.0525,0.6090,5.25,-20.25,497.76,498.20,497.76,11.93,3.6562,1.22,4.92,0.4062,46.64,0,0.0
3742,0.3675,-0.4550,0.0875,0.5914,5.25,-20.13,498.00,498.44,498.00,23.90,3.6562,1.22,4.92,0.4062,46.64,0,0.0
3842,0.4725,-0.4375,0.0700,0.6477,6.34,-19.52,498.00,498.43,498.00,3.09,3.6562,1.22,4.92,0.4062,46.64,0,0.0
3942,0.3150,-0.5425,0.0875,0.6334,5.86,-20.13,499.10,499.54,499.10,112.61,3.6562,1.22,4.92,0.4062,46.64,0,0.0
4042,0.3675,-0.5600,0.1400,0.6843,6.71,-20.74,498.37,498.85,498.37,19.08,3.6562,1.22,4.92,0.4062,46.64,0,0.0
4142,0.4200,-0.4725,0.0875,0.6382,4.15,-19.89,497.27,497.69,497.27,122.46,3.6562,1.22,4.92,0.4062,46.64,0,0.0
4242,0.2800,-0.6475,0.0875,0.7109,5.98,-20.01,497.76,498.20,497.76,21.88,3.6562,1.22,4.92,0.4062,46.64,0,0.0
4342,0.3150,-0.5075,0.0875,0.6037,5.37,-19.28,497.52,497.92,497.52,114.58,3.6562,1.22,4.92,0.4062,46.64,0,0.0
4442,0.4550,-0.4550,0.0875,0.6494,6.34,-19.52,497.52,497.94,497.52,39.66,3.6562,1.22,4.92,0.4062,46.64,0,0.0
4542,0.4550,-0.4200,0.0525,0.6214,5.61,-19.52,497.52,497.93,497.52,37.96,3.6562,1.22,4.92,0.4062,46.64,0,0.0
4642,0.4025,-0.4550,0.1050,0.6165,5.49,-20.13,497.52,497.95,497.52,119.06,3.6562,1.22,4.92,0.4062,46.64,0,0.0
4742,0.3675,-0.4725,0.0700,0.6027,5.49,-20.13,498.37,498.81,498.37,46.85,3.6562,1.22,4.92,0.4062,46.64,0,0.0
4842,0.3675,-0.4550,0.0875,0.5914,5.98,-19.52,498.25,498.67,498.25,0.75,3.6562,1.22,4.92,0.4062,46.64,0,0.0
4942,0.3675,-0.5600,0.0875,0.6755,6.59,-19.89,497.88,498.32,497.88,0.07,3.6562,1.22,4.92,0.4062,46.64,0,0.0
5042,0.3150,-0.5600,0.1400,0.6576,6.47,-20.62,497.39,497.86,497.39,31.93,3.6562,1.22,4.92,0.4062,46.64,0,0.0
5142,0.3325,-0.4725,0.0875,0.5844,6.10,-19.64,498.13,498.55,498.13,99.79,3.6562,1.22,4.92,0.4062,46.64,0,0.0
5242,0.2975,-0.5600,0.1050,0.6428,5.61,-19.28,497.27,497.68,497.27,14.35,4.4688,0.32,1.24,9.3438,0.60,0,0.0
5342,0.3325,-0.5250,0.0875,0.6276,5.98,-19.64,497.27,497.70,497.27,35.29,4.4688,0.32,1.24,9.3438,0.60,0,0.0
5442,0.4025,-0.4550,0.0350,0.6085,5.98,-18.91,497.03,497.42,497.03,73.61,4.4688,0.32,1.24,9.3438,0.60,0,0.0
5542,0.4375,-0.4025,0.0525,0.5968,5.86,-19.52,497.52,497.93,497.52,25.88,4.4688,0.32,1.24,9.3438,0.60,0,0.0
5642,0.3500,-0.4900,0.1225,0.6145,5.12,-19.89,497.52,497.94,497.52,1.26,4.4688,0.32,1.24,9.3438,0.60,0,0.0
5742,0.3675,-0.4725,0.1050,0.6077,4.76,-20.62,497.88,498.33,497.88,76.39,4.4688,0.32,1.24,9.3438,0.60,0,0.0
5842,0.3150,-0.5425,0.0875,0.6334,5.98,-19.52,497.39,497.81,497.39,12.66,4.4688,0.32,1.24,9.3438,0.60,0,0.0
5942,0.3150,-0.5950,0.0700,0.6769,5.86,-20.25,497.39,497.84,497.39,0.78,4.4688,0.32,1.24,9.3438,0.60,0,0.0
6042,0.3850,-0.4725,0.0700,0.6135,5.49,-19.89,497.39,497.82,497.39,86.09,4.4688,0.32,1.24,9.3438,0.60,0,0.0
6142,0.4200,-0.4375,0.1050,0.6155,5.86,-19.40,497.52,497.93,497.52,49.72,4.4688,0.32,1.24,9.3438,0.60,0,0.0
6242,0.3325,-0.5425,0.0700,0.6401,6.10,-19.15,498.00,498.41,498.00,107.96,4.4688,0.32,1.24,9.3438,0.60,0,0.0
6342,0.3675,-0.5250,0.0700,0.6447,5.37,-20.50,497.64,498.09,497.64,57.55,4.4688,0.32,1.24,9.3438,0.60,0,0.0
6442,0.4025,-0.5075,0.1050,0.6562,5.12,-19.64,497.39,497.81,497.39,27.28,4.4688,0.32,1.24,9.3438,0.60,0,0.0
6542,0.3325,-0.5250,0.0525,0.6236,5.37,-19.52,497.64,498.05,497.64,37.19,4.4688,0.32,1.24,9.3438,0.60,0,0.0
6642,0.3500,-0.5250,0.0700,0.6348,5.61,-19.64,496.78,497.20,496.78,96.19,4.4688,0.32,1.24,9.3438,0.60,0,0.0
6742,0.3850,-0.4900,0.0350,0.6241,5.00,-19.64,496.66,497.08,496.66,53.13,4.4688,0.32,1.24,9.3438,0.60,0,0.0
6842,0.4200,-0.4900,0.0700,0.6492,6.59,-18.54,497.76,498.15,497.76,48.16,4.4688,0.32,1.24,9.3438,0.60,0,0.0
6942,0.4375,-0.4550,0.0700,0.6351,6.95,-20.50,497.27,497.74,497.27,26.84,4.4688,0.32,1.24,9.3438,0.60,0,0.0
7042,0.3850,-0.4900,0.0700,0.6271,5.86,-20.86,497.39,497.87,497.39,3.56,4.4688,0.32,1.24,9.3438,0.60,0,0.0
7142,0.3500,-0.5600,0.1225,0.6716,5.86,-20.01,496.54,496.98,496.54,170.80,4.4688,0.32,1.24,9.3438,0.60,0,0.0
7242,0.3675,-0.5075,0.0525,0.6288,6.34,-19.64,497.03,497.46,497.03,11.39,4.4688,0.32,1.24,9.3438,0.60,0,0.0
7342,0.3500,-0.5775,0.0525,0.6773,6.10,-20.13,497.03,497.47,497.03,93.99,4.4688,0.32,1.24,9.3438,0.60,0,0.0
7442,0.3850,-0.5075,0.0875,0.6430,5.98,-20.01,497.39,497.83,497.39,20.32,4.4688,0.32,1.24,9.3438,0.60,0,0.0
7542,0.3850,-0.5075,0.0700,0.6408,5.98,-20.13,497.15,497.59,497.15,32.16,4.4688,0.32,1.24,9.3438,0.60,0,0.0
7642,0.4025,-0.4200,0.0875,0.5883,5.86,-18.91,497.39,497.79,497.39,63.02,4.4688,0.32,1.24,9.3438,0.60,0,0.0
7742,0.3675,-0.5425,0.0525,0.6574,5.86,-20.01,498.37,498.81,498.37,142.47,4.4688,0.37,1.56,10.1562,0.51,0,0.0
7842,0.4375,-0.4200,0.0525,0.6087,5.49,-19.76,497.39,497.82,497.39,8.90,4.4688,0.37,1.56,10.1562,0.51,0,0.0
7942,0.3500,-0.5600,0.0350,0.6613,5.00,-19.64,497.52,497.93,497.52,0.25,4.4688,0.37,1.56,10.1562,0.51,0,0.0
8042,0.3675,-0.4900,0.0525,0.6147,6.47,-20.37,497.88,498.34,497.88,19.54,4.4688,0.37,1.56,10.1562,0.51,0,0.0
8142,0.3850,-0.5075,0.0700,0.6408,5.73,-19.40,497.52,497.93,497.52,57.40,4.4688,0.37,1.56,10.1562,0.51,0,0.0
8242,0.3500,-0.4900,0.0525,0.6044,4.39,-19.89,497.64,498.05,497.64,8.26,4.4688,0.37,1.56,10.1562,0.51,0,0.0
8342,0.3500,-0.4900,0.0525,0.6044,5.73,-19.40,497.27,497.68,497.27,49.67,4.4688,0.37,1.56,10.1562,0.51,0,0.0
8442,0.3500,-0.4900,0.0875,0.6085,5.73,-19.03,497.52,497.91,497.52,0.67,4.4688,0.37,1.56,10.1562,0.51,0,0.0
8542,0.4200,-0.5075,0.0700,0.6625,6.10,-19.64,497.27,497.70,497.27,23.27,4.4688,0.37,1.56,10.1562,0.51,0,0.0
8642,0.3850,-0.5600,0.1400,0.6938,5.86,-19.76,497.03,497.46,497.03,23.60,4.4688,0.37,1.56,10.1562,0.51,0,0.0
8742,0.3675,-0.5075,0.0350,0.6276,5.73,-21.11,496.54,497.02,496.54,46.85,4.4688,0.37,1.56,10.1562,0.51,0,0.0
8842,0.4200,-0.4025,0.1050,0.5911,5.86,-20.13,497.52,497.96,497.52,50.36,4.4688,0.37,1.56,10.1562,0.51,0,0.0
8942,0.4200,-0.4725,0.0000,0.6322,6.10,-19.76,497.39,497.82,497.39,39.32,4.4688,0.37,1.56,10.1562,0.51,0,0.0
9042,0.3675,-0.5250,0.0875,0.6468,5.37,-19.40,497.03,497.44,497.03,22.96,4.4688,0.37,1.56,10.1562,0.51,0,0.0
9142,0.3675,-0.4375,0.0700,0.5756,5.49,-19.52,496.42,496.83,496.42,3.15,4.4688,0.37,1.56,10.1562,0.51,0,0.0
9242,0.3500,-0.5600,0.1400,0.6751,4.88,-20.01,497.76,498.19,497.76,58.27,4.4688,0.37,1.56,10.1562,0.51,0,0.0
9342,0.3325,-0.5075,0.0525,0.6090,6.22,-19.64,497.39,497.82,497.39,60.61,4.4688,0.37,1.56,10.1562,0.51,0,0.0
9442,0.3850,-0.5425,0.0350,0.6662,6.59,-20.01,497.64,498.08,497.64,38.03,4.4688,0.37,1.56,10.1562,0.51,0,0.0
9542,0.4025,-0.5075,0.0350,0.6487,5.49,-19.52,497.88,498.29,497.88,10.52,4.4688,0.37,1.56,10.1562,0.51,0,0.0
9642,0.3325,-0.5250,0.0525,0.6236,5.86,-20.13,497.64,498.08,497.64,1.49,4.4688,0.37,1.56,10.1562,0.51,0,0.0
9742,0.3675,-0.5250,0.0700,0.6447,6.59,-20.13,496.78,497.24,496.78,80.48,4.4688,0.37,1.56,10.1562,0.51,0,0.0
9842,0.4200,-0.4550,0.0700,0.6232,5.61,-19.89,496.91,497.34,496.91,13.64,4.4688,0.37,1.56,10.1562,0.51,0,0.0
9942,0.3675,-0.5600,0.0175,0.6700,5.61,-20.37,497.15,497.60,497.15,43.88,4.4688,0.37,1.56,10.1562,0.51,0,0.0
10042,0.4025,-0.4900,0.0700,0.6380,5.86,-19.03,496.42,496.82,496.42,50.01,4.4688,0.37,1.56,10.1562,0.51,0,0.0
10142,0.4025,-0.5075,0.0875,0.6536,6.34,-20.13,496.91,497.35,496.91,62.13,4.4688,0.37,1.56,10.1562,0.51,0,0.0
10242,0.3500,-0.5250,0.0525,0.6332,5.37,-20.50,496.91,497.36,496.91,15.05,4.4688,0.37,1.56,10.1562,0.51,0,0.0
10342,0.3675,-0.5775,0.0700,0.6881,6.47,-20.62,497.52,497.99,497.52,26.05,5.2812,0.43,1.91,7.7188,0.53,0,0.0
10442,0.3150,-0.5425,0.0700,0.6312,5.25,-19.89,498.13,498.55,498.13,82.85,5.2812,0.43,1.91,7.7188,0.53,0,0.0
