SWV ITM Data Console - ITM Port: 0

=== PARKINSON TREMOR MONITOR ===
IMU init... OK
FFT INIT STATUS: 0
TIME_MS,GX_DPS,GY_DPS,GZ_DPS,GYRO_MAG,AX_MG,AY_MG,AZ_MG,ACCEL_MAG,ACCEL_VERT,JERK_MG_S,DOMINANT_HZ,PEAK_FFT_MAG,BAND_ENERGY,GLOBAL_HZ,GLOBAL_MAG,TREMOR,TREMOR_PCT
142,-2.7125,11.3400,8.9775,14.7156,44.41,17.20,528.50,530.65,528.50,620.42,0.0000,0.00,0.00,0.0000,0.00,0,0.0
242,1.3475,-2.5900,-10.6400,11.0333,59.41,-5.73,502.52,506.05,502.52,382.77,0.0000,0.00,0.00,0.0000,0.00,0,0.0
342,-4.1125,-4.9875,15.3300,16.6372,74.05,18.54,485.68,491.65,485.68,548.17,0.0000,0.00,0.00,0.0000,0.00,0,0.0
442,-3.8150,21.2450,5.4425,22.2604,14.88,4.39,502.64,502.88,502.64,2484.74,0.0000,0.00,0.00,0.0000,0.00,0,0.0
542,-8.2075,-61.1100,-15.2250,63.5106,-83.20,-39.65,480.56,489.32,480.56,4815.98,0.0000,0.00,0.00,0.0000,0.00,0,0.0
642,19.4425,9.8175,-38.9900,44.6611,36.97,35.01,460.18,462.99,460.18,1546.53,0.0000,0.00,0.00,0.0000,0.00,0,0.0
742,-4.4450,-5.6700,-41.6150,42.2341,-123.95,-56.97,456.40,476.35,456.40,424.51,0.0000,0.00,0.00,0.0000,0.00,0,0.0
842,122.9900,-49.6125,-12.4950,133.2068,-29.28,12.69,535.34,536.29,535.34,2565.56,0.0000,0.00,0.00,0.0000,0.00,0,0.0
942,-52.7975,9.4325,19.0225,56.9070,0.61,60.76,531.43,534.89,531.43,3028.07,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1042,-76.1250,-44.3625,1.7500,88.1255,19.03,39.53,521.67,523.51,521.67,2049.32,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1142,19.3200,13.5275,-8.8900,25.2049,55.27,5.12,552.90,555.68,552.90,3538.62,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1242,-36.9250,-183.4875,-20.5450,188.2903,53.31,20.25,554.73,557.66,554.73,4121.59,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1342,39.1300,76.0725,-32.1125,91.3750,206.67,-68.81,610.00,647.72,610.00,21438.52,0.0000,0.00,0.00,0.0000,0.00,0,0.0
