SWV ITM Data Console - ITM Port: 0

=== PARKINSON TREMOR MONITOR ===
IMU init... OK
FFT INIT STATUS: 0
TIME_MS,GX_DPS,GY_DPS,GZ_DPS,GYRO_MAG,AX_MG,AY_MG,AZ_MG,ACCEL_MAG,ACCEL_VERT,JERK_MG_S,DOMINANT_HZ,PEAK_FFT_MAG,BAND_ENERGY,GLOBAL_HZ,GLOBAL_MAG,TREMOR,TREMOR_PCT
142,-0.7350,6.3350,-1.6275,6.5819,-16.59,3.54,499.96,500.24,499.96,1926.32,0.0000,0.00,0.00,0.0000,0.00,0,0.0
242,2.1350,-20.7200,5.0225,21.4267,-27.21,33.55,510.81,512.64,510.81,3310.02,0.0000,0.00,0.00,0.0000,0.00,0,0.0
342,0.4900,24.7275,-10.5700,26.8964,-13.66,-23.42,502.03,502.76,502.03,3980.10,0.0000,0.00,0.00,0.0000,0.00,0,0.0
442,-13.4925,9.1700,-7.3325,17.8858,-32.94,1.22,524.23,525.27,524.23,1412.19,0.0000,0.00,0.00,0.0000,0.00,0,0.0
542,-8.9425,-10.7100,8.4700,16.3222,-17.45,-9.88,534.60,534.98,534.60,2965.43,0.0000,0.00,0.00,0.0000,0.00,0,0.0
642,-1.0850,-28.5250,-0.1750,28.5462,-31.84,-8.91,460.67,461.86,460.67,1093.02,0.0000,0.00,0.00,0.0000,0.00,0,0.0
742,3.3425,8.3125,-19.4425,21.4075,-25.99,-8.78,468.48,469.28,468.48,1556.66,0.0000,0.00,0.00,0.0000,0.00,0,0.0
842,-1.2600,17.2375,-23.7650,29.3853,-9.03,-27.69,476.29,477.18,476.29,2834.49,0.0000,0.00,0.00,0.0000,0.00,0,0.0
942,-22.8900,-48.1425,-40.8275,67.1456,20.13,5.49,489.22,489.66,489.22,3394.86,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1042,27.0725,-20.6325,-8.2775,35.0305,-5.00,-35.50,503.25,504.53,503.25,3412.94,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1142,20.3000,72.3625,-91.9275,118.7396,-213.38,92.84,482.39,535.58,482.39,1220.30,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1242,41.3525,-7.8050,9.9050,43.2326,116.27,0.49,410.29,426.44,410.29,11005.28,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1342,-9.5900,-63.5075,-50.3650,81.6199,465.80,-153.48,331.84,592.15,331.84,10224.61,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1442,-14.2275,35.3675,-65.8350,76.0758,-247.90,170.92,633.30,701.24,633.30,23669.84,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1542,69.7725,36.7500,99.9775,127.3353,-262.42,223.50,507.64,613.61,507.64,13771.54,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1642,-13.5800,24.2900,-39.8125,48.5742,574.38,-247.42,227.77,665.59,227.77,15794.95,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1742,-22.5225,-55.0725,-84.2625,103.1524,-201.79,139.93,567.30,618.17,567.30,24211.44,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1842,-34.6150,-33.8450,-34.4575,59.4222,-610.24,402.60,865.59,1133.02,865.59,402.37,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1942,33.7925,27.2650,50.5400,66.6304,-417.24,272.18,544.24,737.82,544.24,35444.86,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2042,28.6650,79.8525,73.5175,112.2628,618.30,-218.38,303.78,722.68,303.78,18963.48,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2142,8.0850,67.5675,-38.1150,77.9967,780.07,-317.44,218.75,870.13,218.75,24485.30,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2242,-59.6575,-157.6400,-86.4325,189.4201,-221.92,64.66,294.02,374.00,294.02,51789.98,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2342,2.5550,-6.4050,15.2950,16.7776,-786.90,427.61,1089.46,1410.31,1089.46,18752.28,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2442,-94.1150,10.9725,78.2075,122.8594,-334.77,110.04,282.80,451.83,282.80,11332.36,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2542,0.5600,71.9600,72.5725,102.2024,91.01,-20.01,342.45,354.91,342.45,26341.50,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2642,129.6400,68.6700,20.0550,148.0686,350.99,-18.06,360.14,503.22,360.14,1998.18,5.6875,758.21,3665.37,0.4062,2281.12,0,0.0
2742,-6.4400,-42.9100,-44.6075,62.2300,208.13,-68.20,299.75,371.24,299.75,495.73,5.6875,758.21,3665.37,0.4062,2281.12,0,0.0
2842,-21.6825,83.4050,-7.5775,86.5098,23.67,26.35,477.51,478.82,477.51,7945.32,5.6875,758.21,3665.37,0.4062,2281.12,0,0.0
2942,27.0550,17.0625,22.2425,38.9593,377.10,-101.50,506.54,639.61,506.54,3413.71,5.6875,758.21,3665.37,0.4062,2281.12,0,0.0
3042,-40.7575,27.4400,-102.1650,113.3658,38.80,-45.51,411.63,415.95,411.63,14489.13,5.6875,758.21,3665.37,0.4062,2281.12,0,0.0
3142,-1.7675,-42.8575,-46.0775,62.9526,-413.09,182.39,654.90,795.49,654.90,1101.21,5.6875,758.21,3665.37,0.4062,2281.12,0,0.0
3242,89.0750,18.5675,83.8075,123.7045,308.05,-80.15,376.25,492.83,376.25,13236.06,5.6875,758.21,3665.37,0.4062,2281.12,0,0.0
3342,6.5275,22.1725,6.7025,24.0656,477.14,-87.35,398.57,627.82,398.57,12743.34,5.6875,758.21,3665.37,0.4062,2281.12,0,0.0
3442,-69.4050,58.9400,-103.5650,137.9010,-37.94,73.81,768.36,772.83,768.36,19929.14,5.6875,758.21,3665.37,0.4062,2281.12,0,0.0
3542,28.3850,-72.1700,55.2825,95.2385,-439.32,159.94,359.05,589.49,359.05,19289.47,5.6875,758.21,3665.37,0.4062,2281.12,0,0.0
3642,-13.7200,110.3900,71.4700,132.2201,640.62,-246.56,206.18,716.73,206.18,16562.78,5.6875,758.21,3665.37,0.4062,2281.12,0,0.0
3742,-7.7175,-100.3450,-73.0450,124.3553,854.37,41.60,190.44,876.32,190.44,10377.91,5.6875,758.21,3665.37,0.4062,2281.12,0,0.0
3842,-26.8100,42.2625,-138.1275,146.9153,-912.44,288.29,1686.65,1939.19,1686.65,21054.55,5.6875,758.21,3665.37,0.4062,2281.12,0,0.0
3942,56.0525,-220.6575,100.3975,248.8198,-686.25,466.89,732.98,1107.33,732.98,72005.73,5.6875,758.21,3665.37,0.4062,2281.12,0,0.0
