SWV ITM Data Console - ITM Port: 0

=== PARKINSON TREMOR MONITOR ===
IMU init... OK
FFT INIT STATUS: 0
TIME_MS,GX_DPS,GY_DPS,GZ_DPS,GYRO_MAG,AX_MG,AY_MG,AZ_MG,ACCEL_MAG,ACCEL_VERT,JERK_MG_S,DOMINANT_HZ,PEAK_FFT_MAG,BAND_ENERGY,GLOBAL_HZ,GLOBAL_MAG,TREMOR,TREMOR_PCT
142,2.7825,-4.3400,-2.6250,5.7852,8.17,-91.13,466.77,475.66,466.77,187.98,0.0000,0.00,0.00,0.0000,0.00,0,0.0
242,5.6700,-9.6950,-3.1150,11.6553,34.04,-92.35,481.05,491.01,481.05,233.34,0.0000,0.00,0.00,0.0000,0.00,0,0.0
342,-0.1400,10.0975,-2.0300,10.3005,12.57,-92.11,482.27,491.14,482.27,429.19,0.0000,0.00,0.00,0.0000,0.00,0,0.0
442,8.8025,-2.1700,-10.3775,13.7799,22.08,-92.96,466.16,475.85,466.16,1131.46,0.0000,0.00,0.00,0.0000,0.00,0,0.0
542,-3.9725,9.9050,-1.2425,10.7440,18.54,-90.40,472.87,481.79,472.87,402.57,0.0000,0.00,0.00,0.0000,0.00,0,0.0
642,5.9500,4.8125,-13.2300,15.2838,11.10,-103.58,476.04,487.31,476.04,2315.43,0.0000,0.00,0.00,0.0000,0.00,0,0.0
742,7.5250,-9.8700,-19.6875,23.2732,8.42,-92.72,434.32,444.19,434.32,564.07,0.0000,0.00,0.00,0.0000,0.00,0,0.0
842,-42.5075,-17.3775,-12.5650,47.6103,48.07,-125.42,501.66,519.33,501.66,2372.78,0.0000,0.00,0.00,0.0000,0.00,0,0.0
942,10.6050,-20.0200,-11.6200,25.4616,98.45,-129.93,476.04,503.18,476.04,3530.34,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1042,-13.3000,7.2275,13.7025,20.4178,16.71,-145.67,515.94,536.37,515.94,2878.71,0.0000,0.00,0.00,0.0000,0.00,0,0.0
