SWV ITM Data Console - ITM Port: 0

=== PARKINSON TREMOR MONITOR ===
IMU init... OK
FFT INIT STATUS: 0
TIME_MS,GX_DPS,GY_DPS,GZ_DPS,GYRO_MAG,AX_MG,AY_MG,AZ_MG,ACCEL_MAG,ACCEL_VERT,JERK_MG_S,DOMINANT_HZ,PEAK_FFT_MAG,BAND_ENERGY,GLOBAL_HZ,GLOBAL_MAG,TREMOR,TREMOR_PCT
142,0.4200,-0.6475,0.1050,0.7789,-33.43,22.94,498.74,500.38,498.74,301.36,0.0000,0.00,0.00,0.0000,0.00,0,0.0
242,0.4375,-0.6650,0.1225,0.8054,-34.28,23.42,497.15,498.88,497.15,164.18,0.0000,0.00,0.00,0.0000,0.00,0,0.0
342,0.4725,-0.7000,0.1050,0.8510,-34.77,23.42,496.30,498.06,496.30,123.54,0.0000,0.00,0.00,0.0000,0.00,0,0.0
442,0.4025,-0.5775,0.1925,0.7298,-35.01,25.25,495.56,497.44,495.56,115.04,0.0000,0.00,0.00,0.0000,0.00,0,0.0
542,0.4550,-0.5775,0.1050,0.7427,-35.87,24.77,497.27,499.18,497.27,78.21,0.0000,0.00,0.00,0.0000,0.00,0,0.0
642,0.4550,-0.5775,0.1400,0.7484,-33.67,23.79,496.91,498.61,496.91,93.94,0.0000,0.00,0.00,0.0000,0.00,0,0.0
742,0.4375,-0.5950,0.0875,0.7437,-34.77,23.91,497.03,498.82,497.03,24.58,0.0000,0.00,0.00,0.0000,0.00,0,0.0
842,0.4200,-0.5775,0.1225,0.7245,-34.40,23.42,497.27,499.01,497.27,89.95,0.0000,0.00,0.00,0.0000,0.00,0,0.0
942,0.4025,-0.6125,0.1400,0.7462,-33.67,24.03,497.03,498.75,497.03,101.94,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1042,0.4200,-0.5775,0.0875,0.7194,-34.16,24.52,496.17,497.95,496.17,68.58,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1142,0.4375,-0.5950,0.0875,0.7437,-33.06,23.67,495.56,497.23,495.56,160.75,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1242,0.4550,-0.5950,0.1225,0.7590,-35.38,24.16,496.17,498.02,496.17,105.94,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1342,0.4550,-0.6125,0.1575,0.7791,-34.04,25.74,495.81,497.64,495.81,139.07,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1442,0.4375,-0.5425,0.1050,0.7048,-33.92,22.57,487.27,488.97,487.27,897.51,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1542,0.4025,-0.5075,0.1050,0.6562,-34.04,23.91,494.71,496.46,494.71,740.65,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1642,0.4375,-0.5775,0.1050,0.7321,-34.53,23.67,499.96,501.71,499.96,334.45,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1742,0.4725,-0.6125,0.1225,0.7832,-34.28,24.40,496.17,497.96,496.17,152.30,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1842,0.4025,-0.6125,0.1050,0.7404,-34.53,25.50,495.20,497.05,495.20,61.35,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1942,0.4725,-0.5425,0.0875,0.7247,-34.04,25.25,492.39,494.21,492.39,394.51,0.0000,0.00,0.00,0.0000,0.00,0,0.0
